TZSAZON_ID,HATKEZD,HATVEGE,NEV,PIR,PIRTIP
12475,2013-06-30,3999-12-31,VÁRVÖLGY KÖZSÉG ÖNKORMÁNYZATA,734422,1
12475,2013-06-30,3999-12-31,REZI KÖZSÉG ÖNKORMÁNYZATA,734488,1
12475,2013-06-30,3999-12-31,VÁLLUS KÖZSÉG ÖNKORMÁNYZATA,435921,1
12476,2013-07-01,3999-12-31,CIBAKHÁZA NAGYKÖZSÉGI ÖNKORMÁNYZAT,732912,1
12476,2013-07-01,3999-12-31,TISZAINOKA KÖZSÉG ÖNKORMÁNYZAT,412573,1
12477,2013-08-31,3999-12-31,IVÁD KÖZSÉGI ÖNKORMÁNYZAT,381532,1
12477,2013-08-31,3999-12-31,IVÁD KÖZSÉGI ÖNKORMÁNYZAT,381532,4
12478,2013-07-01,3999-12-31,FELSŐBERECKI KÖZSÉG  ÖNKORMÁNYZATA,545091,1
12478,2013-07-01,3999-12-31,ALSÓBERECKI KÖZSÉG ÖNKORMÁNYZATA,349459,1
12479,2013-07-01,3999-12-31,CSÉM KÖZSÉG ÖNKORMÁNYZATA,387325,1
12479,2013-07-01,3999-12-31,CSÉP KÖZSÉG ÖNKORMÁNYZATA,387336,1
12479,2013-07-01,3999-12-31,BANA KÖZSÉG ÖNKORMÁNYZATA,730040,1
12479,2013-07-01,3999-12-31,NAGYIGMÁND NAGYKÖZSÉG ÖNKORMÁNYZATA,729710,1
12479,2013-07-01,3999-12-31,SZÁKSZEND KÖZSÉG ÖNKORMÁNYZATA,729721,1
12479,2013-07-01,3999-12-31,KISIGMÁND KÖZSÉGI ÖNKORMÁNYZAT,387369,1
1248,2009-01-01,2011-12-31,HEVES MEGYEI ÖNKORMÁNYZAT,728944,1
1248,2012-01-01,3999-12-31,KÖZIGAZGATÁSI ÉS IGAZSÁGÜGYI MINISZTÉRIUM,300070,1
1248,2009-01-01,2011-12-31,HEVES MEGYEI ÖNKORMÁNYZAT,728944,4
1248,2012-01-01,3999-12-31,HEVES MEGYEI INTÉZMÉNYFENNTARTÓ KÖZPONT,795603,4
12480,2013-07-01,3999-12-31,TAMÁSI VÁROS ÖNKORMÁNYZATA,733436,1
12480,2013-07-01,3999-12-31,TAMÁSI VÁROS ÖNKORMÁNYZATA,733436,4
12481,2013-06-30,3999-12-31,SZIHALOM KÖZSÉGI ÖNKORMÁNYZAT,729446,1
12481,2013-06-30,3999-12-31,MEZŐSZEMERE KÖZSÉGI ÖNKORMÁNYZAT,380524,1
12482,2013-07-01,3999-12-31,BÁCSSZENTGYÖRGY KÖZSÉGI ÖNKORMÁNYZAT,341882,1
12482,2013-07-01,3999-12-31,GARA KÖZSÉGI ÖNKORMÁNYZAT,336675,1
