TZSAZON_ID,PIR,STATUSZ,VIZSGDATUM,VIZSGDATUMTOL,XMLDATUM
10310,790972,H,2013-11-15,2013-11-15,2013-11-15
10311,790983,H,2013-11-15,2013-11-15,2013-11-15
10312,790994,H,2013-11-15,2013-11-15,2013-11-15
10313,791012,H,2013-11-15,2013-11-15,2013-11-15
10314,791023,H,2013-11-15,2013-11-15,2013-11-15
10315,791034,H,2013-11-15,2013-11-15,2013-11-15
10316,791045,H,2013-11-15,2013-11-15,2013-11-15
10317,791056,H,2013-11-15,2013-11-15,2013-11-15
10318,791078,H,2013-11-15,2013-11-15,2013-11-15
10319,791089,H,2013-11-15,2013-11-15,2013-11-15
1032,367703,H,2013-11-15,2013-11-15,2013-11-15
10320,791090,H,2013-11-15,2013-11-15,2013-11-15
10321,791111,H,2013-11-15,2013-11-15,2013-11-15
10322,791122,H,2013-11-15,2013-11-15,2013-11-15
10323,791133,H,2013-11-15,2013-11-15,2013-11-15
10324,791166,H,2013-11-15,2013-11-15,2013-11-15
10325,791188,H,2013-11-15,2013-11-15,2013-11-15
10326,791199,H,2013-11-15,2013-11-15,2013-11-15
10327,791209,H,2013-11-15,2013-11-15,2013-11-15
10328,791210,H,2013-11-15,2013-11-15,2013-11-15
10329,791232,H,2013-11-15,2013-11-15,2013-11-15
1033,367714,H,2013-11-15,2013-11-15,2013-11-15
10330,791254,H,2013-11-15,2013-11-15,2013-11-15
10331,791265,H,2013-11-15,2013-11-15,2013-11-15
10332,791276,H,2013-11-15,2013-11-15,2013-11-15
10333,791287,H,2013-11-15,2013-11-15,2013-11-15
10334,791308,H,2013-11-15,2013-11-15,2013-11-15
10335,791320,H,2013-11-15,2013-11-15,2013-11-15
10336,791364,H,2013-11-15,2013-11-15,2013-11-15
10337,791375,H,2013-11-15,2013-11-15,2013-11-15
10338,791386,H,2013-11-15,2013-11-15,2013-11-15
10339,791397,H,2013-11-15,2013-11-15,2013-11-15
1034,367747,H,2013-11-15,2013-11-15,2013-11-15
10340,791418,H,2013-11-15,2013-11-15,2013-11-15
10341,791429,H,2013-11-15,2013-11-15,2013-11-15
10342,791441,H,2013-11-15,2013-11-15,2013-11-15
